 TIME_UT    SZA    [W.m-2]   st.dev
  0.0167   154.23   -0.061    0.133
  0.0333   154.08   -0.049    0.129
  0.0500   153.92   -0.055    0.171
  0.0667   153.77   -0.061    0.134
  0.0833   153.61   -0.025    0.140
  0.1000   153.46   -0.013    0.120
  0.1167   153.30   -0.017    0.104
  0.1333   153.14   -0.057    0.131
  0.1500   152.98   -0.034    0.130
  0.1667   152.82   -0.021    0.133
  0.1833   152.66   -0.029    0.108
  0.2000   152.50   -0.042    0.133
  0.2167   152.34    0.023    0.119
  0.2333   152.18   -0.002    0.127
  0.2500   152.02   -0.027    0.104
  0.2667   151.85   -0.057    0.127
  0.2833   151.69   -0.067    0.097
  0.3000   151.53   -0.051    0.126
  0.3167   151.36   -0.008    0.112
  0.3333   151.20   -0.046    0.148
  0.3500   151.03   -0.002    0.128
  0.3667   150.87   -0.053    0.098
  0.3833   150.70   -0.025    0.083
  0.4000   150.53   -0.015    0.097
  0.4167   150.36   -0.025    0.126
  0.4333   150.20   -0.044    0.119
  0.4500   150.03   -0.034    0.101
  0.4667   149.86    0.034    0.106
  0.4833   149.69   -0.008    0.143
  0.5000   149.52    0.013    0.115
  0.5167   149.35   -0.025    0.090
  0.5333   149.18    0.011    0.104
  0.5500   149.01   -0.017    0.109
  0.5667   148.83   -0.029    0.115
  0.5833   148.66   -0.021    0.111
  0.6000   148.49   -0.057    0.116
  0.6167   148.32   -0.019    0.107
  0.6333   148.14   -0.053    0.097
  0.6500   147.97   -0.002    0.099
  0.6667   147.80   -0.019    0.108
  0.6833   147.62   -0.044    0.108
  0.7000   147.45   -0.048    0.133
  0.7167   147.27   -0.015    0.106
  0.7333   147.10   -0.002    0.123
  0.7500   146.92   -0.011    0.115
  0.7667   146.74   -0.017    0.125
  0.7833   146.57   -0.044    0.099
  0.8000   146.39   -0.068    0.077
  0.8167   146.21   -0.019    0.131
  0.8333   146.03   -0.051    0.103
  0.8500   145.86   -0.044    0.116
  0.8667   145.68   -0.021    0.087
  0.8833   145.50   -0.038    0.128
  0.9000   145.32    0.002    0.099
  0.9167   145.14   -0.011    0.130
  0.9333   144.96   -0.008    0.120
  0.9500   144.78   -0.015    0.118
  0.9667   144.60    0.002    0.110
  0.9833   144.43   -0.063    0.104
  1.0000   144.25   -0.013    0.119
  1.0167   144.06   -0.038    0.114
  1.0333   143.88   -0.019    0.116
  1.0500   143.70    0.002    0.122
  1.0667   143.52    0.044    0.100
  1.0833   143.34   -0.040    0.105
  1.1000   143.16   -0.011    0.110
  1.1167   142.98   -0.023    0.119
  1.1333   142.79   -0.057    0.111
  1.1500   142.61    0.008    0.137
  1.1667   142.43   -0.027    0.116
  1.1833   142.25   -0.010    0.113
  1.2000   142.06    0.044    0.103
  1.2167   141.88   -0.019    0.117
  1.2333   141.70    0.013    0.085
  1.2500   141.51   -0.034    0.117
  1.2667   141.33   -0.029    0.134
  1.2833   141.15   -0.044    0.112
  1.3000   140.96   -0.023    0.119
  1.3167   140.78   -0.046    0.127
  1.3333   140.59    0.008    0.087
  1.3500   140.41   -0.015    0.106
  1.3667   140.22   -0.011    0.077
  1.3833   140.04    0.019    0.105
  1.4000   139.85    0.008    0.106
  1.4167   139.67    0.015    0.075
