 TIME_UT    SZA    [W.m-2]   st.dev 
  0.0167   154.23    1.276     2.71
  0.0333   154.08    0.000     3.01
  0.0500   153.92    0.000     2.76
  0.0667   153.77    0.000     3.06
  0.0833   153.61    0.498     2.73
  0.1000   153.46    0.102     2.91
  0.1167   153.30    0.000     3.70
  0.1333   153.14    0.000     3.56
  0.1500   152.98    0.421     2.87
  0.1667   152.82    0.089     3.06
  0.1833   152.66    0.000     2.65
  0.2000   152.50    0.000     3.61
  0.2167   152.34    0.000     3.32
  0.2333   152.18    0.396     3.07
  0.2500   152.02    0.000     2.34
  0.2667   151.85    0.000     3.02
  0.2833   151.69    0.000     3.04
  0.3000   151.53    0.000     2.92
  0.3167   151.36    1.008     3.28
  0.3333   151.20    0.268     2.62
  0.3500   151.03    0.000     3.15
  0.3667   150.87    0.000     3.10
  0.3833   150.70    0.000     2.52
  0.4000   150.53    0.140     2.54
  0.4167   150.36    0.689     2.80
  0.4333   150.20    0.000     2.25
  0.4500   150.03    0.651     2.75
  0.4667   149.86    0.000     2.79
  0.4833   149.69    0.587     3.07
  0.5000   149.52    0.077     3.88
  0.5167   149.35    0.587     3.25
  0.5333   149.18    0.000     3.46
  0.5500   149.01    0.676     2.92
  0.5667   148.83    0.000     2.34
  0.5833   148.66    0.000     3.44
  0.6000   148.49    0.128     2.91
  0.6167   148.32    0.051     2.51
  0.6333   148.14    0.000     3.46
  0.6500   147.97    0.332     3.06
  0.6667   147.80    0.000     3.08
  0.6833   147.62    0.740     3.54
  0.7000   147.45    0.000     3.37
  0.7167   147.27    0.000     2.53
  0.7333   147.10    0.000     3.25
  0.7500   146.92    0.000     3.04
  0.7667   146.74    0.000     3.42
  0.7833   146.57    0.191     2.58
  0.8000   146.39    0.000     2.38
  0.8167   146.21    0.000     3.12
  0.8333   146.03    0.217     3.11
  0.8500   145.86    0.000     3.15
  0.8667   145.68    0.000     3.34
  0.8833   145.50    0.217     3.01
  0.9000   145.32    0.000     2.95
  0.9167   145.14    0.370     2.76
  0.9333   144.96    0.357     2.93
  0.9500   144.78    0.000     3.45
  0.9667   144.60    0.000     2.59
  0.9833   144.43    0.153     2.88
  1.0000   144.25    0.000     3.52
  1.0167   144.06    0.000     3.23
  1.0333   143.88    0.714     3.65
  1.0500   143.70    0.000     3.01
  1.0667   143.52    0.000     2.75
  1.0833   143.34    0.000     2.97
  1.1000   143.16    0.000     2.93
  1.1167   142.98    0.000     2.63
  1.1333   142.79    0.000     2.63
  1.1500   142.61    0.000     3.16
  1.1667   142.43    0.357     3.15
  1.1833   142.25    0.000     3.54
  1.2000   142.06    0.000     2.53
  1.2167   141.88    0.000     3.72
  1.2333   141.70    0.000     2.70
  1.2500   141.51    0.000     2.67
  1.2667   141.33    0.000     2.96
  1.2833   141.15    0.000     2.55
  1.3000   140.96    0.000     2.90
  1.3167   140.78    0.000     2.90
  1.3333   140.59    0.893     2.25
  1.3500   140.41    0.000     2.68
  1.3667   140.22    0.000     2.77
  1.3833   140.04    0.000     3.19
  1.4000   139.85    0.000     3.67
  1.4167   139.67    0.000     2.77
  1.4333   139.48    0.383     3.04
  1.4500   139.30    0.000     3.02
  1.4667   139.11    0.153     2.90
  1.4833   138.93    0.000     2.81
  1.5000   138.74    0.000     2.31
  1.5167   138.55    0.268     2.67
  1.5333   138.37    0.000     3.17
  1.5500   138.18    0.153     2.67
  1.5667   138.00    0.000     3.31
  1.5833   137.81    0.000     3.12
  1.6000   137.62    0.242     3.50
  1.6167   137.44    0.000     2.51
  1.6333   137.25    1.276     3.14
  1.6500   137.06    0.000     2.95
  1.6667   136.87    0.230     2.93
  1.6833   136.69    0.765     3.29
  1.7000   136.50    0.600     3.12
  1.7167   136.31    0.689     2.78
  1.7333   136.12    0.153     2.94
  1.7500   135.94    0.255     3.19
  1.7667   135.75    0.242     3.20
  1.7833   135.56    0.000     2.82
  1.8000   135.37    0.000     2.79
  1.8167   135.19    0.000     2.73
  1.8333   135.00    0.000     3.26
  1.8500   134.81    0.000     3.03
  1.8667   134.62    0.536     2.84
  1.8833   134.43    0.191     3.05
  1.9000   134.24    1.301     2.70
  1.9167   134.06    0.931     2.84
  1.9333   133.87    0.000     3.01
  1.9500   133.68    0.893     2.82
  1.9667   133.49    0.000     3.21
  1.9833   133.30    0.217     2.64
  2.0000   133.11    0.574     3.31
  2.0167   132.92    0.038     2.91
  2.0333   132.73    0.000     3.72
  2.0500   132.55    1.021     3.03
  2.0667   132.36    1.021     2.59
  2.0833   132.17    0.689     2.91
  2.1000   131.98    0.561     3.02
  2.1167   131.79    1.289     2.75
  2.1333   131.60    0.447     3.71
  2.1500   131.41    0.242     2.71
  2.1667   131.22    0.842     2.58
  2.1833   131.03    0.000     3.16
  2.2000   130.84    0.128     2.68
  2.2167   130.65    0.396     2.75
  2.2333   130.46    0.765     2.41
  2.2500   130.28    0.982     2.31
  2.2667   130.09    0.000     2.75
  2.2833   129.90    0.549     2.69
  2.3000   129.71    0.447     2.60
  2.3167   129.52    0.000     2.14
  2.3333   129.33    0.089     3.12
  2.3500   129.14    0.281     3.42
  2.3667   128.95    0.383     2.89
  2.3833   128.76    0.600     2.80
  2.4000   128.57    0.191     3.26
  2.4167   128.38    0.293     2.88
  2.4333   128.19    0.638     3.19
  2.4500   128.00    0.000     3.05
  2.4667   127.81    0.000     3.16
  2.4833   127.62    1.123     2.73
  2.5000   127.43    0.536     2.44
  2.5167   127.24    0.102     2.92
  2.5333   127.05    0.408     2.60
  2.5500   126.86    0.000     2.49
  2.5667   126.67    1.301     3.37
  2.5833   126.48    0.931     3.17
  2.6000   126.29    0.000     2.37
  2.6167   126.10    0.498     2.72
  2.6333   125.91    0.510     2.62
  2.6500   125.72    1.327     2.39
  2.6667   125.53    0.817     3.39
  2.6833   125.34    0.549     2.62
  2.7000   125.16    1.199     2.84
  2.7167   124.97    0.293     3.32
  2.7333   124.78    0.064     2.75
  2.7500   124.59    0.421     2.53
  2.7667   124.40    0.051     2.91
  2.7833   124.21    0.000     3.31
  2.8000   124.02    0.000     3.30
  2.8167   123.83    0.689     2.72
  2.8333   123.64    0.000     3.28
  2.8500   123.45    1.531     3.65
  2.8667   123.26    0.000     2.85
  2.8833   123.07    1.276     3.35
  2.9000   122.88    0.000     2.22
  2.9167   122.69    0.702     3.31
  2.9333   122.50    0.919     3.25
  2.9500   122.31    0.000     2.71
  2.9667   122.12    0.051     2.73
  2.9833   121.93    0.000     2.63
  3.0000   121.75    0.013     2.33
  3.0167   121.56    0.000     2.95
  3.0333   121.37    0.000     2.43
  3.0500   121.18    0.319     3.40
  3.0667   120.99    0.000     2.96
  3.0833   120.80    0.000     3.15
  3.1000   120.61    0.000     2.70
  3.1167   120.42    0.842     3.48
  3.1333   120.23    0.421     2.93
  3.1500   120.05    0.000     3.15
  3.1667   119.86    0.089     2.95
  3.1833   119.67    0.000     2.94
  3.2000   119.48    0.549     2.81
  3.2167   119.29    0.000     3.46
  3.2333   119.10    0.140     3.27
  3.2500   118.91    0.000     2.45
  3.2667   118.72    0.000     3.51
  3.2833   118.54    0.561     2.63
  3.3000   118.35    1.097     3.44
  3.3167   118.16    0.000     3.72
  3.3333   117.97    0.459     2.94
  3.3500   117.78    0.051     3.52
  3.3667   117.59    0.000     2.72
  3.3833   117.41    0.000     2.71
  3.4000   117.22    0.000     3.14
  3.4167   117.03    0.064     2.62
  3.4333   116.84    0.000     2.31
  3.4500   116.66    0.000     3.08
  3.4667   116.47    0.217     2.68
  3.4833   116.28    0.204     3.11
  3.5000   116.09    0.000     3.19
  3.5167   115.91    0.179     2.83
  3.5333   115.72    0.191     2.91
  3.5500   115.53    0.089     3.89
  3.5667   115.34    0.000     2.88
  3.5833   115.16    0.000     2.83
  3.6000   114.97    0.625     3.06
  3.6167   114.78    0.344     3.20
  3.6333   114.60    0.217     2.71
  3.6500   114.41    0.714     3.04
  3.6667   114.22    0.689     2.99
  3.6833   114.04    0.000     3.16
  3.7000   113.85    0.549     3.68
  3.7167   113.66    0.306     3.21
  3.7333   113.48    0.000     2.86
  3.7500   113.29    0.000     2.63
  3.7667   113.11    0.293     2.51
  3.7833   112.92    0.765     3.47
  3.8000   112.73    0.000     3.84
